key	sci	ru	en	tr	ka	breadth	importance	dangerous	already_in
amanita_pantherina	Amanita pantherina	Мухомор пантерный	Panther cap	Panter mantarı	თავჭედილა	narrow	5	yes	AT,BG,BY,CZ,DE,EE,ES,FI,FR,GB,GE,HR,HU,IT,JP,KR,LT,LV,MD,MX,PL,RS,RU,SE,SI,SK,UA
amanita_pantherinoides	Amanita pantherinoides		Panther amanitas			narrow	5	yes	CA,US
amanita_phalloides	Amanita phalloides	Бледная поганка	Death cap	Köygöçüren mantarı	შხამა	narrow	5	yes	AT,AU,BG,BY,CA,CZ,DE,EE,ES,FI,FR,GB,GE,HR,HU,IT,KR,LT,LV,MD,NZ,PL,RO,RS,RU,SE,SI,SK,TR,UA,US
amanita_ponderosa	Amanita ponderosa					narrow	5	no	ES
amanita_regalis	Amanita regalis	Мухомор королевский				narrow	4	yes	FI,LV,SE
amanita_rubescens	Amanita rubescens	Мухомор серо-розовый	Blusher		მარწყვიო	narrow	5	no	AT,BG,CZ,DE,FR,GE,HR,HU,KR,MD,RS,SI,SK
amanita_smithiana	Amanita smithiana		Smith’s amanita			narrow	5	yes	CA,US
amanita_subjunquillea	Amanita subjunquillea					narrow	5	yes	JP,KR
amanita_vaginata	Amanita vaginata	Поплавок серый		Meşe mantarı		narrow	4	no	FR,MD,RU,SI,TR
amanita_verna	Amanita verna	Мухомор весенний				narrow	5	yes	BG,ES,HR,HU,JP,KR,SK
amanita_virosa	Amanita virosa	Мухомор вонючий	Destroying angel			narrow	5	yes	AT,BG,BY,DE,EE,FI,FR,GB,HR,IT,JP,KR,LT,LV,PL,RU,SE,SI,SK,UA
amanita_xanthocephala	Amanita xanthocephala		Vermilion grisette			narrow	4	no	AU
anthracophyllum_archeri	Anthracophyllum archeri		Orange fan			narrow	4	no	AU,NZ
anthurus_archeri	Anthurus archeri		Octopus stinkhorn			narrow	4	no	NZ
armillaria_borealis	Armillaria borealis	Опята осенние				mid	5	no	FI
armillaria_luteobubalina	Armillaria luteobubalina		Australian honey fungus			narrow	4	no	AU
armillaria_mellea	Armillaria mellea	Опёнок осенний	Honey mushroom		მანჭკვალა	mid	5	no	AT,BG,BY,CA,CZ,DE,EE,GB,GE,HR,HU,IT,JP,LT,LV,MD,MX,PL,RO,RS,RU,SI,SK,UA,US
armillaria_novae_zelandiae	Armillaria novae-zelandiae		Austral honey mushroom			narrow	4	no	NZ
aseroe_rubra	Aseroe rubra		Anemone stinkhorn			narrow	4	no	AU,NZ
astraeus_hygrometricus	Astraeus hygrometricus		Barometer earthstar			narrow	4	no	AU
auricularia_americana	Auricularia americana		Wood ears			broad	4	no	JP,KR,MX
auricularia_auricula_judae	Auricularia auricula-judae	Иудино ухо	Jelly ear	Kulak mantarı		narrow	4	no	CZ,GB,HR,HU,MD,UA
auricularia_cornea	Auricularia cornea		Wood ear			mid	5	no	NZ
boletaceae	Boletaceae	Болетовые				broad	5	no	EE
boletellus_obscurecoccineus	Boletellus obscurecoccineus		Rhubarb bolete			narrow	4	no	AU
boletopsis_leucomelaena	Boletopsis leucomelaena					narrow	3	no	KR
boletus_aereus	Boletus aereus					narrow	5	no	ES,FR,RO,RS
boletus_aestivalis	Boletus aestivalis					narrow	5	no	FR
boletus_edulis	Boletus edulis	Белый гриб	Porcini	Ayı mantarı	დათვის სოკო	mid	5	no	AT,BG,BY,CA,CZ,DE,EE,ES,FI,FR,GB,GE,HR,HU,IT,LT,LV,MD,MX,NZ,PL,RO,RS,RU,SE,SI,SK,TR,UA,US
boletus_pinophilus	Boletus pinophilus					narrow	5	no	ES,FR,RS,SE
boletus_reticulatus	Boletus reticulatus					narrow	5	no	CZ,ES,RS,SE
boletus_sp	Boletus sp.					broad	4	no	KR
bovista_nigrescens	Bovista nigrescens				გუდაფშუკა	broad	4	no	GE
bovista_plumbea	Bovista plumbea			Puf mantarı		broad	3	no	TR
bovista_sp	Bovista sp.					broad	3	no	PL
bovistella_utriformis	Bovistella utriformis					mid	3	no	HU
caloboletus_calopus	Caloboletus calopus					narrow	3	yes	DE,SI
calocybe_gambosa	Calocybe gambosa	Майский гриб	St George’s mushroom	Cincile	მაისის სოკო	narrow	5	no	AT,BG,CZ,DE,ES,FR,GB,GE,HR,HU,IT,LT,MD,RO,RS,SI,SK,TR,UA
calostoma_fuscum	Calostoma fuscum		Common prettymouth			narrow	4	no	AU
calvatia_cyathiformis	Calvatia cyathiformis					broad	4	no	MX
calvatia_gigantea	Calvatia gigantea	Головач гигантский	Giant puffball			narrow	5	no	AT,CA,CZ,DE,EE,GB,HR,HU,IT,LT,LV,MD,NZ,RO,RS,SK,UA,US
cantharellus_cibarius	Cantharellus cibarius	Лисичка	Chanterelle	Sarı mantar	მიქლიო	mid	5	no	AT,BG,BY,CZ,DE,EE,ES,FI,FR,GB,GE,HR,HU,IT,KR,LT,LV,MD,MX,PL,RO,RS,RU,SE,SI,SK,TR,UA
cantharellus_cinnabarinus	Cantharellus cinnabarinus		Red chanterelles			narrow	3	no	US
cantharellus_enelensis	Cantharellus enelensis		Chanterelle			mid	5	no	CA
cantharellus_pallens	Cantharellus pallens					narrow	4	no	SE
cantharellus_phasmatis	Cantharellus phasmatis		Golden chanterelles			mid	5	no	US
catathelasma_ventricosum	Catathelasma ventricosum					narrow	3	no	JP
cerioporus_squamosus	Cerioporus squamosus	Трутовик чешуйчатый	Dryad’s saddle	Aladana	ძერანა	narrow	4	no	GB,GE,MD,RO,RS,SK,TR,US
chalciporus_piperatus	Chalciporus piperatus	Перечный гриб				narrow	4	no	BY,LT
chlorophyllum_brunneum	Chlorophyllum brunneum		Shaggy parasol			narrow	5	yes	AU,HU
chlorophyllum_molybdites	Chlorophyllum molybdites		Green-spored parasol			narrow	5	yes	AU,JP,KR,US
chlorophyllum_neomastoideum	Chlorophyllum neomastoideum					narrow	4	yes	KR
chlorophyllum_rhacodes	Chlorophyllum rhacodes	Гриб-зонтик краснеющий	Shaggy parasol			mid	4	yes	CA,EE,GB,IT,LV,NZ,RS,SK,US
chroogomphus_rutilus	Chroogomphus rutilus	Мокруха пурпуровая		Çam kabara		narrow	3	no	HR,MD,TR
clathrus_archeri	Clathrus archeri		Seastar stinkhorn			narrow	4	no	AU
claustula_fischeri	Claustula fischeri		Bunyip egg			narrow	4	no	AU
clavariadelphus_truncatus	Clavariadelphus truncatus					narrow	3	no	MX
clavogaster_virescens	Clavogaster virescens		Blue pouch fungus			narrow	3	no	NZ
clavulinopsis_sulcata	Clavulinopsis sulcata		Flame fungus			mid	3	no	NZ
clitocybe_dealbata	Clitocybe dealbata					narrow	5	yes	RO,RS,SI
clitocybe_gibba	Clitocybe gibba					narrow	4	no	MX
clitocybe_nebularis	Clitocybe nebularis	Говорушка дымчатая				narrow	4	yes	FR,HU,IT,SK
clitocybe_nuda	Clitocybe nuda		Wood blewit			narrow	4	no	NZ
clitocybe_rivulosa	Clitocybe rivulosa		Fool’s funnel			narrow	5	yes	ES,GB,HU
clitopilus_prunulus	Clitopilus prunulus	Подвишень			ალუბლისძირა	narrow	4	no	BY,FR,GE,HR,RS,SI
collybia_nuda	Collybia nuda	Рядовка фиолетовая	Blewit	Mor cincile		narrow	4	no	CA,DE,JP,MD,PL,SK,TR,US
collybia_nuda__2	Collybia nuda				ღრუბელა	mid	4	no	GE
collybia_personata	Collybia personata			Mor bacak mantarı		narrow	3	no	TR
conocybe_filaris	Conocybe filaris		Fool’s conecap			narrow	4	yes	GB
coprinellus_micaceus	Coprinellus micaceus			Mürekkep mantarı	მგლის სოკო	narrow	3	yes	TR
coprinopsis_atramentaria	Coprinopsis atramentaria	Навозник серый	Alcohol inky		სილიო	narrow	4	yes	EE,GB,GE,KR,LV,SK,US
coprinus_comatus	Coprinus comatus	Навозник белый	Shaggy mane	Söbelen mantarı	მერცხალა სოკო	narrow	5	no	AT,AU,BG,BY,CA,DE,EE,ES,FI,FR,GB,GE,HR,IT,KR,LV,MD,NZ,PL,RO,RS,RU,SE,SI,SK,TR,UA,US
coprinus_sp	Coprinus sp.	Навозник				broad	3	no	EE
cordyceps_militaris	Cordyceps militaris					mid	4	no	KR
cortinarius_austrovenetus	Cortinarius austrovenetus		Green skinhead			narrow	4	no	AU
cortinarius_caperatus	Cortinarius caperatus	Колпак кольчатый	Gypsy mushroom			narrow	5	no	AT,BG,BY,EE,FI,FR,HR,IT,JP,LT,PL,RU,SE,SI,UA
cortinarius_mucosus	Cortinarius mucosus	Паутинник слизистый				narrow	3	no	EE
cortinarius_orellanus	Cortinarius orellanus					narrow	5	yes	AT,CZ,DE,ES,FR,HU,IT,LT,RO,SK
cortinarius_porphyroideus	Cortinarius porphyroideus		Purple pouch fungus			narrow	4	no	NZ
cortinarius_rotundisporus	Cortinarius rotundisporus		Elegant blue webcap			narrow	4	no	AU
cortinarius_rubellus	Cortinarius rubellus	Паутинник красивейший	Deadly webcap			narrow	5	yes	EE,FI,GB,LT,LV,SE,US
cortinarius_sp	Cortinarius sp.	Паутинники				broad	4	yes	EE
craterellus_cornucopioides	Craterellus cornucopioides	Вороночник рожковидный		Borazan mantarı	ძაბრა სოკო	narrow	5	no	AT,BG,CZ,DE,EE,ES,FI,FR,GE,HR,HU,IT,LT,LV,PL,RO,RS,SE,SI,SK,TR,UA
craterellus_fallax	Craterellus fallax		Black trumpet			mid	4	no	CA,US
craterellus_lutescens	Craterellus lutescens	Лисичка желтеющая				narrow	4	no	ES,FI,FR,IT,SE
craterellus_tubaeformis	Craterellus tubaeformis	Лисичка трубчатая	Winter chanterelle	Civciv ayağı		narrow	5	no	CA,CZ,DE,FI,FR,GB,LV,RU,SE,TR,US
crucibulum_simile	Crucibulum simile		Common bird’s nest fungus			narrow	3	no	NZ
cruentomycena_viscidocruenta	Cruentomycena viscidocruenta		Ruby bonnet			narrow	4	no	AU
cuphophyllus_pratensis	Cuphophyllus pratensis					narrow	3	no	BG
cyclocybe_aegerita	Cyclocybe aegerita					narrow	4	no	RS
cyclocybe_cylindracea	Cyclocybe cylindracea					narrow	4	no	ES,HR,IT
cyclocybe_parasitica	Cyclocybe parasitica		Tawaka			narrow	5	no	NZ
cyptotrama_aspratum	Cyptotrama aspratum		Gold tufts			narrow	4	no	AU
cyttaria_gunnii	Cyttaria gunnii		Beech orange			narrow	4	no	AU
desarmillaria_tabescens	Desarmillaria tabescens					narrow	3	no	RO
drechmeria_gunnii	Drechmeria gunnii		Dark vegetable caterpillar			narrow	4	no	AU
echinoderma_asperum	Echinoderma asperum	Лепиота шероховатая				narrow	4	yes	EE
entoloma_abortivum	Entoloma abortivum		Shrimp of the woods			narrow	3	no	US
entoloma_canoconicum	Entoloma canoconicum		Grey pinkgill			narrow	3	no	NZ
entoloma_clypeatum	Entoloma clypeatum					narrow	4	no	HR,RS
entoloma_hochstetteri	Entoloma hochstetteri		Blue pinkgill			narrow	5	no	NZ
entoloma_rhodopolium	Entoloma rhodopolium	Энтолома серо-розовая				narrow	5	yes	JP,KR,MD
entoloma_sarcopum	Entoloma sarcopum					narrow	5	no	JP
entoloma_sepium	Entoloma sepium					narrow	4	no	RS
entoloma_sinuatum	Entoloma sinuatum	Энтолома ядовитая		Sahte cincile		narrow	5	yes	BG,ES,FR,HU,IT,MD,RO,RS,SI,TR
favolaschia_claudopus	Favolaschia claudopus		Orange pore fungus			mid	4	no	NZ
fistulina_hepatica	Fistulina hepatica	Печёночница обыкновенная	Beefsteak fungus		ღვიძლა სოკო	narrow	4	no	AU,BG,GB,GE,HR,MD,US
flammulina_velutipes	Flammulina velutipes	Опёнок зимний	Velvet shank	Kış mantarı		narrow	5	no	AT,BG,BY,CZ,DE,GB,HR,HU,JP,KR,LV,MD,NZ,RS,RU,SI,TR,UA
fomes_fomentarius	Fomes fomentarius	Трутовик настоящий	Hoof fungus	Kav mantarı	აბედის სოკო	narrow	4	no	CA,GB,GE,LT
fomitiporia_robusta	Fomitiporia robusta		Robust bracket			narrow	2	no	NZ
fomitopsis_betulina	Fomitopsis betulina	Трутовик берёзовый	Birch polypore			narrow	4	no	CA,GB
fomitopsis_mounceae	Fomitopsis mounceae		Red-belted conk			mid	4	no	CA
galerina_marginata	Galerina marginata	Галерина окаймлённая	Deadly Galerina			narrow	5	yes	AT,BG,BY,CA,CZ,DE,ES,FI,FR,GB,HU,LT,LV,MD,PL,RO,RS,RU,SE,SI,SK,UA,US
ganoderma_applanatum	Ganoderma applanatum		Artist’s conk			narrow	4	no	CA
ganoderma_lingzhi	Ganoderma lingzhi					mid	4	no	KR
ganoderma_oerstedii	Ganoderma oerstedii					narrow	3	no	MX
ganoderma_tsugae	Ganoderma tsugae		Artist’s bracket			mid	4	no	CA,NZ
geastrum_fimbriatum	Geastrum fimbriatum		Earthstar			broad	3	no	NZ
geastrum_fornicatum	Geastrum fornicatum		Arched earthstar			narrow	4	no	AU
gliophorus_sp	Gliophorus sp.		Waxgills			broad	4	no	NZ
gomphidius_glutinosus	Gomphidius glutinosus	Мокруха еловая				narrow	3	no	BG,CZ,DE,EE,HR,RU,SI
gomphus_clavatus	Gomphus clavatus		Pig’s ears			narrow	4	no	CA
grifola_frondosa	Grifola frondosa	Гриб-баран	Hen of the woods	Çalık		narrow	5	no	CA,GB,HR,JP,KR,TR,US
guepinia_helvelloides	Guepinia helvelloides					narrow	3	no	HR
gymnopilus_junonius	Gymnopilus junonius		Spectacular rustgill			narrow	4	no	AU
gymnopus_dryophilus	Gymnopus dryophilus					mid	3	no	MX
gyromitra_esculenta	Gyromitra esculenta	Строчки	False morel	Kuzugöbeği ebesi		narrow	5	yes	AT,BY,CZ,DE,EE,ES,FI,FR,HU,IT,LT,PL,RO,RS,SE,SK,TR,UA
gyromitra_esculenta__2	Gyromitra esculenta	Строчок	False morel			broad	5	yes	CA,LV,RU,US
gyroporus_castaneus	Gyroporus castaneus	Каштановый гриб	Chestnut bolete			narrow	3	no	HR,LT,US
gyroporus_cyanescens	Gyroporus cyanescens	Гиропорус синеющий	Cornflower bolete			narrow	4	no	HR,LV,PL,US
hebeloma_aminophilum	Hebeloma aminophilum		Ghoul fungus			broad	5	yes	AU,HU,MX
hebeloma_crustuliniforme	Hebeloma crustuliniforme	Гебелома клейкая				narrow	4	yes	MD
helvella_lacunosa	Helvella lacunosa					mid	5	no	MX
hericium_americanum	Hericium americanum		Bear’s head			mid	4	no	CA
hericium_coralloides	Hericium coralloides		Coral tooth	Dede sakalı		narrow	4	no	AU,TR
hericium_erinaceus	Hericium erinaceus		Lion’s mane	Aslan yelesi		narrow	5	no	JP,KR,US
hericium_novae_zealandiae	Hericium novae-zealandiae		New Zealand lion’s mane			narrow	5	no	NZ
hydnopolyporus_fimbriatus	Hydnopolyporus fimbriatus					narrow	3	no	MX
hydnum_repandum	Hydnum repandum	Ежовик жёлтый	Hedgehog fungus	Sığır dili mantarı		mid	5	no	AT,BG,BY,CA,CZ,DE,EE,ES,FI,FR,GB,HR,HU,IT,MD,PL,RO,RS,RU,SE,SI,SK,TR,UA
hydnum_rufescens	Hydnum rufescens					narrow	4	no	BG,FI,SE
hydnum_sp	Hydnum sp.	Ежовики	Hedgehog mushrooms			broad	4	no	LT,LV,US
hygrocybe_conica	Hygrocybe conica		Waxcaps			broad	3	no	GB
hygrophoropsis_aurantiaca	Hygrophoropsis aurantiaca	Ложная лисичка	False chanterelle			narrow	4	yes	AT,BG,BY,CA,DE,EE,FI,FR,GB,LV,MD,PL,RU,SE,UA,US
hygrophorus_camarophyllus	Hygrophorus camarophyllus	Гигрофор черный				narrow	3	no	EE,FI
hygrophorus_chrysodon	Hygrophorus chrysodon					narrow	3	no	MX
hygrophorus_eburneus	Hygrophorus eburneus					narrow	3	no	BG
hygrophorus_gliocyclus	Hygrophorus gliocyclus					mid	3	no	MX
hygrophorus_hypothejus	Hygrophorus hypothejus	Гигрофор поздний				narrow	3	no	BG
hygrophorus_latitabundus	Hygrophorus latitabundus					narrow	4	no	ES
hygrophorus_marzuolus	Hygrophorus marzuolus					narrow	4	no	ES,IT
hygrophorus_russula	Hygrophorus russula					narrow	4	no	ES,JP,RS
hypholoma_capnoides	Hypholoma capnoides					narrow	4	no	DE
hypholoma_fasciculare	Hypholoma fasciculare	Ложноопёнок серно-жёлтый	Sulphur tuft		მანჭკვალას მატყუარა	narrow	5	yes	AT,BG,BY,CA,CZ,DE,FI,GE,HR,IT,JP,KR,LT,MD,PL,RO,RU,SI,SK,UA
hypholoma_lateritium	Hypholoma lateritium	Ложноопёнок кирпично-красный			ცრუმანჭკვალა	narrow	4	yes	GE,JP,KR,RU
hypomyces_lactifluorum	Hypomyces lactifluorum		Lobster mushroom			narrow	5	no	CA,MX,US
hypsizygus_marmoreus	Hypsizygus marmoreus					narrow	4	no	KR
hypsizygus_ulmarius	Hypsizygus ulmarius		Elm oyster			narrow	4	no	CA
ileodictyon_cibarium	Ileodictyon cibarium		Basket fungus			narrow	5	no	AU,NZ
ileodictyon_gracile	Ileodictyon gracile		Smooth cage			narrow	4	no	AU
imleria_badia	Imleria badia	Польский гриб	Bay bolete	Ayıca		narrow	5	no	AT,BY,CZ,DE,ES,FR,GB,HU,LT,LV,PL,RO,RU,SE,SI,SK,TR,UA
infundibulicybe_geotropa	Infundibulicybe geotropa			Ebişke		narrow	4	no	ES,FR,HR,IT,TR
infundibulicybe_gibba	Infundibulicybe gibba					narrow	3	no	HR
inocybe_erubescens	Inocybe erubescens					narrow	5	yes	LT
inocybe_sp	Inocybe sp.					broad	4	yes	HU
inonotus_obliquus	Inonotus obliquus	Чага	Chaga			narrow	4	no	BY,CA,LT,RU
inosperma_adaequatum	Inosperma adaequatum	Волоконница краснеющая				narrow	4	yes	MD
inosperma_erubescens	Inosperma erubescens	Волоконница Патуйяра				narrow	5	yes	ES,LV,SI,SK
kuehneromyces_mutabilis	Kuehneromyces mutabilis	Опёнок летний				narrow	4	no	AT,BY,CZ,DE,EE,FI,HR,LT,LV,PL,RU,SE,SI,UA
laccaria_amethystina	Laccaria amethystina	Лаковица аметистовая	Amethyst deceiver			narrow	3	no	GB,HR
laccaria_laccata	Laccaria laccata	Лаковица				narrow	4	no	HR,MX
laccaria_ochropurpurea	Laccaria ochropurpurea		Purple laccaria			narrow	2	no	US
laccocephalum_hartmannii	Laccocephalum hartmannii		Chestnut polypore			narrow	4	no	AU
laccocephalum_mylittae	Laccocephalum mylittae		Native bread			narrow	4	no	AU
lactarius_camphoratus	Lactarius camphoratus	Млечник камфорный				narrow	3	no	FI
lactarius_deliciosus	Lactarius deliciosus	Рыжик	Saffron milk cap	Kanlıca	მჭადა	mid	5	no	AT,AU,BG,BY,CZ,DE,EE,ES,FR,GE,HR,HU,IT,LT,LV,MD,MX,NZ,PL,RO,RS,RU,SE,SI,SK,TR,UA
lactarius_deterrimus	Lactarius deterrimus					narrow	4	no	AT,CZ,DE,FI,RS,SE
lactarius_flexuosus	Lactarius flexuosus	Серушка				narrow	3	no	RU
lactarius_hatsudake	Lactarius hatsudake					narrow	4	no	JP
lactarius_helvus	Lactarius helvus	Млечник серо-розовый	Maple-scented milkcap			narrow	3	yes	EE,FI
lactarius_indigo	Lactarius indigo		Indigo milk cap			mid	5	no	MX,US
lactarius_laeticolorus	Lactarius laeticolorus					narrow	4	no	JP
lactarius_lignyotus	Lactarius lignyotus					narrow	3	no	FI
lactarius_necator	Lactarius necator	Чёрный груздь				narrow	4	yes	BY,EE,LV
lactarius_pubescens	Lactarius pubescens	Белянка				narrow	3	no	RU
lactarius_pyrogalus	Lactarius pyrogalus			Fındık mantarı		mid	4	no	TR
lactarius_repraesentaneus	Lactarius repraesentaneus					narrow	3	no	FI
lactarius_resimus	Lactarius resimus	Груздь настоящий				mid	5	no	BY,RU,UA
lactarius_rubidus	Lactarius rubidus		Candy cap			mid	4	no	US
lactarius_rufus	Lactarius rufus	Горькушка				narrow	5	no	BY,EE,FI,LV,RU,SE
lactarius_salmonicolor	Lactarius salmonicolor					narrow	4	no	AT,FR,RS
lactarius_sanguifluus	Lactarius sanguifluus					mid	5	no	ES,FR
lactarius_scrobiculatus	Lactarius scrobiculatus	Груздь жёлтый			ყვითელი პაჭიჭა	narrow	3	no	GE,LV,RU
lactarius_semisanguifluus	Lactarius semisanguifluus					narrow	3	no	RS
lactarius_thyinos	Lactarius thyinos	Млечники	Orange milkcap			broad	5	no	CA,EE,US
lactarius_torminosus	Lactarius torminosus	Волнушка			ნაბადა	narrow	4	yes	BY,FI,GE,IT,LT,LV,PL,RS,RU,SI,UA
lactarius_trivialis	Lactarius trivialis	Гладыш				narrow	5	no	BY,FI,LV,RU
lactarius_turpis	Lactarius turpis	Чернушка				narrow	4	no	FI,LT,RU
lactarius_vinosus	Lactarius vinosus			Kara kanlıca		narrow	4	no	TR
lactarius_volemus	Lactarius volemus					narrow	4	no	KR
lactifluus_piperatus	Lactifluus piperatus	Грузди		Acı	არყა	narrow	4	no	BG,GE,HU,LT,MD,RO,RS,TR,UA
lactifluus_vellereus	Lactifluus vellereus	Скрипица		Acı mantar	სავარცხელა	narrow	4	no	BY,GE,LV,RU,TR
lactifluus_volemus	Lactifluus volemus	Подмолочник		Geyik tirmiti		narrow	4	no	AT,BG,BY,DE,JP,LV,PL,RO,RS,SE,SI,SK,TR,UA
laetiporus_cincinnatus	Laetiporus cincinnatus		Chicken of the woods			mid	5	no	US
laetiporus_portentosus	Laetiporus portentosus		Bracket fungus			narrow	4	no	NZ
laetiporus_sulphureus	Laetiporus sulphureus	Трутовик серно-жёлтый	Chicken of the woods	Kiraz mantarı		narrow	5	no	BG,CA,CZ,GB,HR,HU,LT,LV,MD,MX,PL,RS,SK,TR,UA
lampteromyces_japonicus	Lampteromyces japonicus					narrow	5	yes	KR
leccinellum_pseudoscabrum	Leccinellum pseudoscabrum					narrow	4	no	BG,HU,PL
leccinum_aurantiacum	Leccinum aurantiacum	Подосиновик	Rough-stemmed boletes			mid	5	no	AT,CA,HR,IT,KR,LV,MD,PL,RU,SK,UA
leccinum_aurantiacum__2	Leccinum aurantiacum	Подосиновик			ვერხვისძირა	narrow	5	no	BG,BY,EE,GE,LT,RO,SE
leccinum_leucopodium	Leccinum leucopodium					mid	5	no	DE
leccinum_pseudoscabrum	Leccinum pseudoscabrum					narrow	4	no	CZ
leccinum_rufum	Leccinum rufum					mid	5	no	CZ
leccinum_scabrum	Leccinum scabrum	Подберёзовик	Birch bolete		არყისძირა	mid	5	no	AT,BG,BY,CZ,DE,FI,FR,GE,LT,LV,MD,NZ,PL,RO,RU,SE,SI,SK,UA
leccinum_versipelle	Leccinum versipelle					narrow	5	no	CZ,FI,SE
lentinula_edodes	Lentinula edodes		Shiitake	Meşe		narrow	5	no	JP,KR
lentinula_novae_zelandiae	Lentinula novae-zelandiae		Native shiitake			narrow	4	no	NZ
lentinus_crinitus	Lentinus crinitus					narrow	3	no	MX
lentinus_sp	Lentinus sp.					broad	3	no	MX
lepiota_brunneoincarnata	Lepiota brunneoincarnata			Yalancı dede mantarı		narrow	5	yes	FR,TR
lepiota_cristata	Lepiota cristata	Лепиота гребенчатая				narrow	5	yes	MD,SI
lepiota_subincarnata	Lepiota subincarnata		Deadly dapperling			mid	5	yes	CA,IT
lepista_nuda	Lepista nuda	Рядовка фиолетовая	Wood blewit			narrow	5	no	AU,BY,CZ,FR,GB,HR,HU,RU,SI,UA
lepista_personata	Lepista personata	Синеножка	Field blewit			narrow	4	no	GB,HU,MD
leratiomyces_erythrocephalus	Leratiomyces erythrocephalus		Scarlet pouch			narrow	3	no	NZ
leucoagaricus_americanus	Leucoagaricus americanus		Reddening lepiota			narrow	3	no	US
leucocoprinus_leucothites	Leucocoprinus leucothites					narrow	3	no	RO
leucocybe_candicans	Leucocybe candicans	Говорушка беловатая				narrow	5	yes	MD
lycoperdon_perlatum	Lycoperdon perlatum	Дождевик	Puffball			broad	4	no	BY,CA,GB,HR,LV,RU
lycoperdon_perlatum__2	Lycoperdon perlatum	Дождевики				narrow	4	no	CZ,KR,LT,SI,UA
lyophyllum_decastes	Lyophyllum decastes		Fried chicken mushroom	Küme cincile mantarı		narrow	5	no	JP,MX
lyophyllum_fumosum	Lyophyllum fumosum					narrow	4	no	JP
lyophyllum_shimeji	Lyophyllum shimeji					narrow	5	no	JP
macrolepiota_mastoidea	Macrolepiota mastoidea					narrow	4	no	RS
macrolepiota_procera	Macrolepiota procera	Зонтик пёстрый	Parasol	Şemsiye mantarı	წეროსწვივა	narrow	5	no	AT,BG,BY,CZ,DE,EE,ES,FI,FR,GB,GE,HR,HU,IT,KR,LT,LV,MD,MX,PL,RO,RS,RU,SE,SI,SK,TR,UA,US
marasmius_elegans	Marasmius elegans		Velvet parachute			narrow	4	no	AU
