key	sci	en	de	fr	nl	el	es	it	sv	hr	sr	bs	bg	tr	sq	breadth	importance	dangerous	already_in
amanita_amerivirosa	Amanita amerivirosa	Destroying angel		Amanite vireuse												mid	5	yes	CA
amanita_arocheae	Amanita arocheae															narrow	4	yes	MX
amanita_australis	Amanita australis	Far south Amanita														narrow	4	yes	NZ
amanita_austroviridis	Amanita austroviridis	Green-gilled Amanita														mid	4	no	AU
amanita_basii	Amanita basii						Amarillo									mid	5	no	MX
amanita_bisporigera	Amanita bisporigera	Destroying angel														broad	5	yes	EE,MX,US
amanita_caesarea	Amanita caesarea		Kaiserling	Oronge		Καισαρικό	Oronja	Ovolo buono		Blagva	Blagva	Blagva	Булка гъба	Duvaklıca	Kërpudha e Cezarit	narrow	5	no	AL,AM,AZ,BA,BG,CH,CY,ES,FR,GE,GR,HR,IT,MD,PT,RO,RS,TR
amanita_caesareoides	Amanita caesareoides															narrow	4	no	JP
amanita_chrysoblema	Amanita chrysoblema	Fly agaric														mid	5	yes	US
amanita_citrina	Amanita citrina			Amanite citrine	Gele knolamaniet											narrow	4	yes	BE,GE,HU,LT,MD,NL,PL
amanita_fulva	Amanita fulva	Tawny grisette					Señoritas									narrow	3	no	MX
amanita_gemmata	Amanita gemmata				Narcisamaniet											narrow	3	yes	NL,PT,SK
amanita_hemibapha	Amanita hemibapha															narrow	4	no	KR
amanita_muscaria	Amanita muscaria	Fly agaric	Fliegenpilz	Amanite tue-mouches	Vliegenzwam	Αμανίτης ο μυγοκτόνος	Mata moscas	Fungo di Cappuccetto rosso	Röd flugsvamp	Muhara	Muhara	Crvena muhara	Червена мухоморка	Sinek mantarı	Kërpudha e mizave	narrow	5	yes	AL,AM,AT,AU,AZ,BA,BE,BG,BY,CA,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IS,IT,JP,KG,KZ,LT,LU,LV,MD,MX,NL,NO,NZ,PL,PT,RO,RS,RU,SE,SI,SK,TJ,TR,UA,UZ
amanita_novinupta	Amanita novinupta						Dieguito									mid	4	no	MX
amanita_ovoidea	Amanita ovoidea					Αμανίτης ο αβγοειδής		Farinaccio		Jajasta pupavka						narrow	4	yes	AL,CY,GR,IT,PT
amanita_pantherina	Amanita pantherina	Panther cap	Pantherpilz	Amanite panthère	Panteramaniet	Αμανίτης ο πάνθηρας	Amanita pantera	Tignosa tigrata	Panterflugsvamp	Panterova muhara	Panterovka	Panterovka	Пантерка	Panter mantarı	Kërpudha panterë	narrow	5	yes	AL,AM,AT,AZ,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IT,JP,KG,KR,KZ,LT,LU,LV,MD,MX,NL,NO,PL,PT,RS,RU,SE,SI,SK,TJ,UA,UZ
amanita_pantherinoides	Amanita pantherinoides	Panther amanitas		Amanite panthérinoïde												narrow	5	yes	CA,US
amanita_phalloides	Amanita phalloides	Death cap	Grüner Knollenblätterpilz	Amanite phalloïde	Groene knolamaniet	Θανατίτης	Oronja verde	Tignosa verdognola	Lömsk flugsvamp	Zelena pupavka	Zelena pupavka	Zelena pupavka	Зелена мухоморка	Köygöçüren mantarı	Kësula e vdekjes	narrow	5	yes	AL,AM,AT,AU,AZ,BA,BE,BG,BY,CA,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IT,KG,KR,KZ,LT,LU,LV,MD,NL,NO,NZ,PL,PT,RO,RS,RU,SE,SI,SK,TJ,TR,UA,US,UZ
amanita_ponderosa	Amanita ponderosa						Gurumelo									narrow	5	no	ES,PT
amanita_regalis	Amanita regalis								Brun flugsvamp							narrow	4	yes	FI,LV,NO,SE
amanita_rubescens	Amanita rubescens	Blusher	Perlpilz	Golmotte	Parelamaniet	Αμανίτης ο κοκκινίζων		Tignosa vinata		Biserka	Biserke	Bisernica	Бисерна гъба			narrow	5	no	AL,AT,AZ,BA,BE,BG,CH,CZ,DE,DK,FR,GE,GR,HR,HU,KR,LU,MD,NL,PT,RS,SI,SK
amanita_smithiana	Amanita smithiana	Smith’s amanita		Amanite de smith												narrow	5	yes	CA,US
amanita_subjunquillea	Amanita subjunquillea															narrow	5	yes	JP,KR
amanita_vaginata	Amanita vaginata			Grisette						Preslice	Siva preslica			Meşe mantarı		narrow	4	no	AZ,FR,IS,MD,RU,SI,TR
amanita_verna	Amanita verna		Frühlingsknollenblätterpilz			Αμανίτης ο εαρινός	Cicuta blanca			Bijela pupavka		Bijela pupavka	Бяла мухоморка			narrow	5	yes	AL,BA,BG,ES,GR,HR,HU,JP,KG,KR,PT,SK,UZ
amanita_virosa	Amanita virosa	Destroying angel	Kegelhütiger Knollenblätterpilz	Amanite vireuse	Kleverige knolamaniet			Tignosa bianca	Vit flugsvamp	Smrdljiva pupavka		Smrdljiva pupavka	Бяла леплива мухоморка			narrow	5	yes	AT,BA,BE,BG,BY,CH,DE,DK,EE,FI,FR,GB,HR,IT,JP,KR,KZ,LT,LU,LV,NO,PL,RU,SE,SI,SK,UA
amanita_xanthocephala	Amanita xanthocephala	Vermilion grisette														narrow	4	no	AU
anthracophyllum_archeri	Anthracophyllum archeri	Orange fan														narrow	4	no	AU,NZ
anthurus_archeri	Anthurus archeri	Octopus stinkhorn														narrow	4	no	NZ
armillaria_borealis	Armillaria borealis								Honungsskivling							mid	5	no	FI
armillaria_luteobubalina	Armillaria luteobubalina	Australian honey fungus														narrow	4	no	AU
armillaria_mellea	Armillaria mellea	Honey mushroom	Hallimasch	Armillaire couleur de miel	Echte honingzwam	Κουτσουρομανίτης	Montoncitos	Chiodini		Puze	Puze	Mednjača	Обикновена пънчушка		Kërpudha e mjaltit	mid	5	no	AL,AM,AT,AZ,BA,BE,BG,BY,CA,CH,CY,CZ,DE,DK,EE,GB,GE,GR,HR,HU,IS,IT,JP,KG,KZ,LT,LU,LV,MD,MX,NL,PL,PT,RO,RS,RU,SI,SK,TJ,TM,UA,US
armillaria_novae_zelandiae	Armillaria novae-zelandiae	Austral honey mushroom														narrow	4	no	NZ
aseroe_rubra	Aseroe rubra	Anemone stinkhorn														narrow	4	no	AU,NZ
astraeus_hygrometricus	Astraeus hygrometricus	Barometer earthstar														narrow	4	no	AU
auricularia_americana	Auricularia americana	Wood ears					Oreja de palo									broad	4	no	JP,KR,MX
auricularia_auricula_judae	Auricularia auricula-judae	Jelly ear	Judasohr	Oreille de Judas	Echt judasoor		Oreja de Judas			Judino uho	Judino uvo	Judino uho		Kulak mantarı		narrow	4	no	BA,BE,CZ,DK,GB,HR,HU,MD,NL,TJ,UA,UZ
auricularia_cornea	Auricularia cornea	Wood ear														mid	5	no	NZ
boletaceae	Boletaceae															broad	5	no	EE
boletellus_obscurecoccineus	Boletellus obscurecoccineus	Rhubarb bolete														narrow	4	no	AU
boletopsis_leucomelaena	Boletopsis leucomelaena															narrow	3	no	KR
boletus_aereus	Boletus aereus		Schwarzhütiger Steinpilz	Cèpe bronzé		Βωλίτης ο χάλκειος	Boleto negro	Porcino nero			Crni vrganj	Crni vrganj				narrow	5	no	AL,AZ,BA,CH,ES,FR,GR,LU,PT,RO,RS
boletus_aestivalis	Boletus aestivalis			Cèpe d’été												narrow	5	no	FR
boletus_edulis	Boletus edulis	Porcini	Steinpilz	Cèpe de Bordeaux	Gewoon eekhoorntjesbrood	Βασιλομανίταρο	Boleto comestible	Porcini	Stensopp	Vrganj	Vrganj	Vrganj	Манатарка	Ayı mantarı	Porcini	mid	5	no	AL,AM,AT,AZ,BA,BE,BG,BY,CA,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IS,IT,KG,KZ,LT,LU,LV,MD,MX,NL,NO,NZ,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,US
boletus_pinophilus	Boletus pinophilus		Kiefernsteinpilz	Cèpe des pins		Βωλίτης ο πευκόφιλος	Boleto de pino		Rödbrun stensopp		Borov vrganj	Borov vrganj				narrow	5	no	AL,BA,ES,FR,GR,PT,RS,SE
boletus_reticulatus	Boletus reticulatus		Sommersteinpilz	Cèpe d’été		Βωλίτης ο δικτυωτός	Boleto reticulado		Finluden stensopp		Prolećni vrganj	Ljetni vrganj				narrow	5	no	AL,AZ,BA,CZ,ES,GR,LU,PT,RS,SE
boletus_sp	Boletus sp.															broad	4	no	KR
bovista_nigrescens	Bovista nigrescens															broad	4	no	GE,IS
bovista_plumbea	Bovista plumbea		Bovist											Puf mantarı		broad	3	no	AM,TJ,TM,TR,UZ
bovista_sp	Bovista sp.															broad	3	no	PL
bovistella_utriformis	Bovistella utriformis															mid	3	no	HU
caloboletus_calopus	Caloboletus calopus		Schönfußröhrling													narrow	3	yes	AZ,CY,DE,SI
calocybe_gambosa	Calocybe gambosa	St George’s mushroom	Mairitterling	Tricholome de la Saint-Georges	Voorjaarspronkridder	Αγιωργίτικο	Seta de San Jorge	Prugnolo	Vårmusseron	Đurđevača	Đurđevača	Đurđevača	Майска гъба	Cincile		narrow	5	no	AL,AM,AT,AZ,BA,BE,BG,CH,CZ,DE,DK,ES,FR,GB,GE,GR,HR,HU,IT,KG,KZ,LT,LU,MD,RO,RS,SI,SK,TJ,TM,TR,UA,UZ
calostoma_fuscum	Calostoma fuscum	Common prettymouth														narrow	4	no	AU
calvatia_cyathiformis	Calvatia cyathiformis						Bolitas de llano									broad	4	no	MX,TM
calvatia_gigantea	Calvatia gigantea	Giant puffball	Riesenbovist	Vesse-de-loup géante	Reuzenbovist			Vescia gigante		Golema puhara	Velika puhara					narrow	5	no	AM,AT,BE,CA,CZ,DE,DK,EE,GB,HR,HU,IT,KG,KZ,LT,LV,MD,NL,NZ,RO,RS,SK,TJ,TM,UA,US,UZ
cantharellus_cibarius	Cantharellus cibarius	Chanterelle	Pfifferling	Girolle	Hanenkam	Κανθαρέλλα	Flores	Finferlo	Kantarell	Lisičice	Lisičarka	Lisičarka	Пачи крак	Sarı mantar	Kantareli	mid	5	no	AL,AM,AT,AZ,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IS,IT,KG,KR,KZ,LT,LU,LV,MD,MX,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA
cantharellus_cinnabarinus	Cantharellus cinnabarinus	Red chanterelles														narrow	3	no	US
cantharellus_enelensis	Cantharellus enelensis	Chanterelle		Chanterelle												mid	5	no	CA
cantharellus_pallens	Cantharellus pallens								Blek kantarell							narrow	4	no	SE
cantharellus_phasmatis	Cantharellus phasmatis	Golden chanterelles														mid	5	no	US
catathelasma_ventricosum	Catathelasma ventricosum															narrow	3	no	JP
cerioporus_squamosus	Cerioporus squamosus	Dryad’s saddle			Zadelzwam						Škripavac			Aladana		narrow	4	no	AM,AZ,GB,GE,KG,KZ,MD,NL,RO,RS,SK,TJ,TM,TR,US,UZ
chalciporus_piperatus	Chalciporus piperatus															narrow	4	no	BY,IS,LT
chlorophyllum_brunneum	Chlorophyllum brunneum	Shaggy parasol	Garten-Safranschirmling	Lépiote vénéneuse												narrow	5	yes	AU,CH,HU,TJ,TM
chlorophyllum_molybdites	Chlorophyllum molybdites	Green-spored parasol														narrow	5	yes	AU,JP,KR,US
chlorophyllum_neomastoideum	Chlorophyllum neomastoideum															narrow	4	yes	KR
chlorophyllum_rhacodes	Chlorophyllum rhacodes	Shaggy parasol	Gemeiner Safranschirmling	Lépiote déguenillée	Gewone knolparasolzwam			Falsa mazza di tamburo	Rodnande fjällskivling		Čupava sunčanica	Čupava sunčanica				mid	4	yes	AZ,BA,BE,CA,DK,EE,GB,IT,LU,LV,NL,NZ,PT,RS,SK,US
chroogomphus_rutilus	Chroogomphus rutilus					Ορνιθούα				Borov čavlić				Çam kabara		narrow	3	no	CY,HR,MD,TR
clathrus_archeri	Clathrus archeri	Seastar stinkhorn														narrow	4	no	AU
claustula_fischeri	Claustula fischeri	Bunyip egg														narrow	4	no	AU
clavariadelphus_truncatus	Clavariadelphus truncatus						Clarín									narrow	3	no	MX
clavogaster_virescens	Clavogaster virescens	Blue pouch fungus														narrow	3	no	NZ
clavulinopsis_sulcata	Clavulinopsis sulcata	Flame fungus														mid	3	no	NZ
clitocybe_dealbata	Clitocybe dealbata										Otrovna brašnjača					narrow	5	yes	AM,RO,RS,SI
clitocybe_gibba	Clitocybe gibba						Oreja									narrow	4	no	MX
clitocybe_nebularis	Clitocybe nebularis			Clitocybe nébuleux	Nevelzwam			Fungo delle nebbie								narrow	4	yes	BE,FR,HU,IT,NL,SK
clitocybe_nuda	Clitocybe nuda	Wood blewit														narrow	4	no	NZ
clitocybe_rivulosa	Clitocybe rivulosa	Fool’s funnel	Rinnigbereifter Trichterling	Clitocybe du bord des routes	Giftige weidetrechterzwam		Clitocibe blanco		Gifttrattskivling							narrow	5	yes	BE,CY,DK,ES,GB,GR,HU,IS,LU,NL,TJ,TM,UZ
clitopilus_prunulus	Clitopilus prunulus			Meunier	Grote molenaar			Prugnolo		Obična brašnjača	Brašnjača					narrow	4	no	BE,BY,FR,GE,HR,RS,SI
collybia_nuda	Collybia nuda	Blewit	Violetter Rötelritterling	Pied bleu										Mor cincile		narrow	4	no	AM,AZ,CA,DE,JP,MD,PL,SK,TM,TR,US
collybia_nuda__2	Collybia nuda															mid	4	no	GE
collybia_personata	Collybia personata													Mor bacak mantarı		narrow	3	no	TR
conocybe_filaris	Conocybe filaris	Fool’s conecap														narrow	4	yes	GB
coprinellus_micaceus	Coprinellus micaceus													Mürekkep mantarı		narrow	3	yes	TM,TR
coprinopsis_atramentaria	Coprinopsis atramentaria	Alcohol inky	Grauer Faltentintling	Coprin noir d’encre	Grote kale inktzwam				Grå bläcksvamp		Sivi jarčić					narrow	4	yes	BE,EE,GB,GE,IS,KG,KR,LV,NL,SK,TJ,TM,US,UZ
coprinus_comatus	Coprinus comatus	Shaggy mane	Schopftintling	Coprin chevelu	Geschubde inktzwam	Κοπρίνος ο κομήτης	Barbuda	Agarico chiomato	Fjällig bläcksvamp	Velika gnojištarka	Gnojištarke	Gnojištarka	Порцеланова копринка	Söbelen mantarı	Kërpudha e bojës	narrow	5	no	AL,AM,AT,AU,AZ,BA,BE,BG,BY,CA,CH,CY,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,IS,IT,KG,KR,KZ,LU,LV,MD,NL,NO,NZ,PL,PT,RO,RS,RU,SE,SI,SK,TJ,TM,TR,UA,US,UZ
coprinus_sp	Coprinus sp.		Tintling													broad	3	no	EE
cordyceps_militaris	Cordyceps militaris															mid	4	no	KR
cortinarius_austrovenetus	Cortinarius austrovenetus	Green skinhead														narrow	4	no	AU
cortinarius_caperatus	Cortinarius caperatus	Gypsy mushroom	Reifpilz	Pholiote ridée				Caperata	Rimskivling	Ciganček			Скрежовка			narrow	5	no	AT,BG,BY,CH,EE,FI,FR,HR,IT,JP,LT,NO,PL,RU,SE,SI,UA
cortinarius_mucosus	Cortinarius mucosus															narrow	3	no	EE
cortinarius_orellanus	Cortinarius orellanus		Orangefuchsiger Raukopf	Cortinaire couleur de rocou		Κορτινάριος ο ορελλάνιος	Cortinario mortal	Cortinario orellano	Orangebrun giftspindling			Planinska koprenka				narrow	5	yes	AL,AT,BA,CH,CZ,DE,ES,FR,GR,HU,IT,LT,LU,NO,RO,SK
cortinarius_porphyroideus	Cortinarius porphyroideus	Purple pouch fungus														narrow	4	no	NZ
cortinarius_rotundisporus	Cortinarius rotundisporus	Elegant blue webcap														narrow	4	no	AU
cortinarius_rubellus	Cortinarius rubellus	Deadly webcap							Toppig giftspindling							narrow	5	yes	DK,EE,FI,GB,LT,LV,NO,SE,US
cortinarius_sp	Cortinarius sp.															broad	4	yes	EE,IS
craterellus_cornucopioides	Craterellus cornucopioides		Herbsttrompete	Trompette-des-morts	Hoorn des overvloeds	Μαύρη τρομπέτα	Trompeta de los muertos	Trombetta dei morti	Svart trumpetsvamp	Mrka trubača	Mrka truba	Crna truba	Тръбенка	Borazan mantarı		narrow	5	no	AL,AM,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GE,GR,HR,HU,IT,LT,LU,LV,NO,PL,PT,RO,RS,SE,SI,SK,TR,UA
craterellus_fallax	Craterellus fallax	Black trumpet		Trompette des morts												mid	4	no	CA,US
craterellus_lutescens	Craterellus lutescens			Chanterelle jaune		Χρυσή τρομπέτα	Trompeta amarilla	Finferle	Rödgul trumpetsvamp							narrow	4	no	AL,ES,FI,FR,GR,IT,NO,SE
craterellus_tubaeformis	Craterellus tubaeformis	Winter chanterelle	Trompeten-Pfifferling	Chanterelle en tube	Trechtercantharel			Finferla	Trattkantarell					Civciv ayağı		narrow	5	no	BE,CA,CH,CZ,DE,DK,FI,FR,GB,LU,LV,NL,NO,RU,SE,TR,US
crucibulum_simile	Crucibulum simile	Common bird’s nest fungus														narrow	3	no	NZ
cruentomycena_viscidocruenta	Cruentomycena viscidocruenta	Ruby bonnet														narrow	4	no	AU
cuphophyllus_pratensis	Cuphophyllus pratensis									Livadna vlažnica			Есенна ливадна гъба			narrow	3	no	BG,IS
cyclocybe_aegerita	Cyclocybe aegerita										Jablanovače					narrow	4	no	RS,TJ,TM
cyclocybe_cylindracea	Cyclocybe cylindracea			Pholiote du peuplier			Seta de chopo	Pioppini		Jablanovača						narrow	4	no	AL,AM,ES,HR,IT,PT,UZ
cyclocybe_parasitica	Cyclocybe parasitica	Tawaka														narrow	5	no	NZ
cyptotrama_aspratum	Cyptotrama aspratum	Gold tufts														narrow	4	no	AU
cyttaria_gunnii	Cyttaria gunnii	Beech orange														narrow	4	no	AU
desarmillaria_tabescens	Desarmillaria tabescens										Grmače					narrow	3	no	RO
drechmeria_gunnii	Drechmeria gunnii	Dark vegetable caterpillar														narrow	4	no	AU
echinoderma_asperum	Echinoderma asperum															narrow	4	yes	EE
entoloma_abortivum	Entoloma abortivum	Shrimp of the woods		Entolome abortif												narrow	3	no	US
entoloma_canoconicum	Entoloma canoconicum	Grey pinkgill														narrow	3	no	NZ
entoloma_clypeatum	Entoloma clypeatum						Cholete color de rosa			Šljivovača	Šljivovača					narrow	4	no	HR,KZ,RS
entoloma_hochstetteri	Entoloma hochstetteri	Blue pinkgill														narrow	5	no	NZ
entoloma_rhodopolium	Entoloma rhodopolium															narrow	5	yes	JP,KR,MD
entoloma_sarcopum	Entoloma sarcopum															narrow	5	no	JP
entoloma_sepium	Entoloma sepium									Voćnjačka rudoliska	Bela šljivovača					narrow	4	no	RS
entoloma_sinuatum	Entoloma sinuatum		Riesenrötling	Entolome livide	Giftige satijnzwam	Εντόλωμα το κολπωτό	La engañosa	Entoloma livido			Olovasta rudoliska	Olovasta rudoliska	Отровна сливовка	Sahte cincile		narrow	5	yes	AL,AM,AZ,BA,BE,BG,CH,DK,ES,FR,GR,HU,IT,KG,KZ,LU,MD,NO,PT,RO,RS,SI,TJ,TM,TR,UZ
favolaschia_claudopus	Favolaschia claudopus	Orange pore fungus														mid	4	no	NZ
fistulina_hepatica	Fistulina hepatica	Beefsteak fungus		Langue de bœuf	Biefstukzwam	Βοϊδόγλωσσα	Lengua de buey			Jetrenka	Jetrenjače	Jetrenjača	Чернодробна гъба			narrow	4	no	AL,AU,BA,BE,BG,GB,GE,GR,HR,MD,NL,PT,US
flammulina_velutipes	Flammulina velutipes	Velvet shank	Samtfußrübling		Gewoon fluweelpootje					Baršunasta panjevka	Zimska panjevica		Зимна припънка	Kış mantarı		narrow	5	no	AM,AT,AZ,BG,BY,CZ,DE,DK,GB,HR,HU,JP,KR,KZ,LV,MD,NL,NZ,RS,RU,SI,TJ,TM,TR,UA,UZ
fomes_fomentarius	Fomes fomentarius	Hoof fungus		Amadouvier					Fnöskticka		Trud		Праханова гъба	Kav mantarı		narrow	4	no	AM,CA,GB,GE,LT,TJ,UZ
fomitiporia_robusta	Fomitiporia robusta	Robust bracket														narrow	2	no	NZ
fomitopsis_betulina	Fomitopsis betulina	Birch polypore		Polypore du bouleau					Björkticka		Brezina guba					narrow	4	no	CA,GB,UZ
fomitopsis_mounceae	Fomitopsis mounceae	Red-belted conk		Polypore marginé												mid	4	no	CA
galerina_marginata	Galerina marginata	Deadly Galerina	Gifthäubling	Galère marginée	Bundelmosklokje	Γαλερίνα η χειλοφόρα	Galerina rebordeada		Gifthätting		Mala smrt	Otrovna panjevčica	Отровна галерина			narrow	5	yes	AL,AM,AT,AZ,BA,BE,BG,BY,CA,CH,CY,CZ,DE,DK,ES,FI,FR,GB,GR,HU,IS,KZ,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TJ,UA,US,UZ
ganoderma_applanatum	Ganoderma applanatum	Artist’s conk		Ganoderme aplani		Ίσκα					Pljosnata sjajnica					narrow	4	no	CA,CY,UZ
ganoderma_lingzhi	Ganoderma lingzhi															mid	4	no	KR
ganoderma_oerstedii	Ganoderma oerstedii						Oreja de pino									narrow	3	no	MX
ganoderma_tsugae	Ganoderma tsugae	Artist’s bracket		Reishi												mid	4	no	CA,NZ
geastrum_fimbriatum	Geastrum fimbriatum	Earthstar														broad	3	no	NZ
geastrum_fornicatum	Geastrum fornicatum	Arched earthstar														narrow	4	no	AU
gliophorus_sp	Gliophorus sp.	Waxgills														broad	4	no	NZ
gomphidius_glutinosus	Gomphidius glutinosus		Großer Schmierling							Veliki slinar			Сив овчи нос			narrow	3	no	BG,CZ,DE,EE,HR,IS,NO,RU,SI
gomphus_clavatus	Gomphus clavatus	Pig’s ears	Schweinsohr	Gomphe clavé												narrow	4	no	CA,CH
grifola_frondosa	Grifola frondosa	Hen of the woods	Gemeiner Klapperschwamm	Maitaké	Eikhaas					Zečarka	Zec gljiva		Листовидна грифола	Çalık		narrow	5	no	BE,CA,GB,HR,JP,KR,NL,TR,US,UZ
guepinia_helvelloides	Guepinia helvelloides									Crvenkasta hladetina						narrow	3	no	HR
gymnopilus_junonius	Gymnopilus junonius	Spectacular rustgill														narrow	4	no	AU
gymnopus_dryophilus	Gymnopus dryophilus						Gringa									mid	3	no	MX
gyromitra_esculenta	Gyromitra esculenta	False morel	Frühjahrslorchel	Gyromitre			Bonete	Falsa spugnola	Stenmurkla	Proljetna moždanica	Hrčci	Proljetni hrčak	Обикновена дипленка	Kuzugöbeği ebesi		narrow	5	yes	AL,AM,AT,AZ,BA,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GR,HU,IT,LT,LU,NO,PL,RO,RS,SE,SK,TM,TR,UA,UZ
gyromitra_esculenta__2	Gyromitra esculenta	False morel		Fausse morille												broad	5	yes	CA,KG,KZ,LV,RU,TJ,US
gyroporus_castaneus	Gyroporus castaneus	Chestnut bolete								Kestenjasta šupljonoška						narrow	3	no	HR,LT,US
gyroporus_cyanescens	Gyroporus cyanescens	Cornflower bolete								Plaveća šupljonoška						narrow	4	no	HR,LV,PL,US
hebeloma_aminophilum	Hebeloma aminophilum	Ghoul fungus					Cholete de ocote									broad	5	yes	AU,HU,MX
hebeloma_crustuliniforme	Hebeloma crustuliniforme															narrow	4	yes	MD
helvella_lacunosa	Helvella lacunosa						Gachupín									mid	5	no	IS,MX
hericium_americanum	Hericium americanum	Bear’s head		Hydne corail												mid	4	no	CA
hericium_coralloides	Hericium coralloides	Coral tooth									Bukova brada			Dede sakalı		narrow	4	no	AU,TR
hericium_erinaceus	Hericium erinaceus	Lion’s mane											Игловиден корал	Aslan yelesi		narrow	5	no	JP,KR,US
hericium_novae_zealandiae	Hericium novae-zealandiae	New Zealand lion’s mane														narrow	5	no	NZ
hydnopolyporus_fimbriatus	Hydnopolyporus fimbriatus															narrow	3	no	MX
hydnum_repandum	Hydnum repandum	Hedgehog fungus	Semmelstoppelpilz	Pied de mouton	Gele stekelzwam	Αγκαθάκι	Lengua de vaca	Steccherino dorato	Blek taggsvamp	Prosenjaci	Ježevice	Ježevica	Жълта рогачка	Sığır dili mantarı		mid	5	no	AL,AM,AT,AZ,BA,BE,BG,BY,CA,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IS,IT,LU,MD,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA
hydnum_rufescens	Hydnum rufescens					Κόκκινο αγκαθάκι			Rödgul taggsvamp				Оранжева рогачка			narrow	4	no	AL,BG,FI,GR,NO,PT,SE
hydnum_sp	Hydnum sp.	Hedgehog mushrooms														broad	4	no	LT,LV,US
hygrocybe_conica	Hygrocybe conica	Waxcaps		Hygrocybes												broad	3	no	GB
hygrophoropsis_aurantiaca	Hygrophoropsis aurantiaca	False chanterelle	Falscher Pfifferling	Fausse-girolle	Valse hanenkam		Membrillo	Falso gallinaccio	Narrkantarell				Лъжлив пачи крак			narrow	4	yes	AL,AT,AZ,BE,BG,BY,CA,CH,DE,DK,EE,FI,FR,GB,GR,KG,KZ,LU,LV,MD,NL,NO,PL,PT,RU,SE,UA,US
hygrophorus_camarophyllus	Hygrophorus camarophyllus								Sotvaxing							narrow	3	no	EE,FI,NO
hygrophorus_chrysodon	Hygrophorus chrysodon						Nixtamal									narrow	3	no	MX
